datetime,price
2025-07-19 00:00:00+00:00,0.46290784876428676
2025-07-20 00:00:00+00:00,0.48465734323850845
2025-07-21 00:00:00+00:00,0.4865735365506899
2025-07-22 00:00:00+00:00,0.4773543393272353
2025-07-23 00:00:00+00:00,0.4344922465539059
2025-07-24 00:00:00+00:00,0.43389745559690257
2025-07-25 00:00:00+00:00,0.4423261353142035
2025-07-26 00:00:00+00:00,0.45182146664842937
2025-07-27 00:00:00+00:00,0.4617056616591619
2025-07-28 00:00:00+00:00,0.4317616217519946
2025-07-29 00:00:00+00:00,0.4240614064217805
2025-07-30 00:00:00+00:00,0.40957885016053125
2025-07-31 00:00:00+00:00,0.3991155729830262
2025-08-01 00:00:00+00:00,0.37371432277206995
2025-08-02 00:00:00+00:00,0.37095690759489247
2025-08-03 00:00:00+00:00,0.3825627135874536
2025-08-04 00:00:00+00:00,0.4092646650349889
2025-08-05 00:00:00+00:00,0.38079833233190147
2025-08-06 00:00:00+00:00,0.3893895143984657
2025-08-07 00:00:00+00:00,0.4166162149981037
2025-08-08 00:00:00+00:00,0.43427101597164675
2025-08-09 00:00:00+00:00,0.47051182866310026
2025-08-10 00:00:00+00:00,0.4639412373978022
2025-08-11 00:00:00+00:00,0.4370663196839285
2025-08-12 00:00:00+00:00,0.47468564560234955
2025-08-13 00:00:00+00:00,0.5734774486528685
2025-08-14 00:00:00+00:00,0.5145824684246646
2025-08-15 00:00:00+00:00,0.4898984237335184
2025-08-16 00:00:00+00:00,0.4950547289715827
2025-08-17 00:00:00+00:00,0.542453681662097
2025-08-18 00:00:00+00:00,0.517209985899803
