,price,whale_count,whale_volume_usd,whale_max_usd,price_pct
2025-07-19 00:00:00+00:00,0.46290784876428676,1,25650324.009356126,25650324.009356126,
2025-07-20 00:00:00+00:00,0.48465734323850845,1,78830693.5864587,78830693.5864587,4.698450141271326
2025-07-21 00:00:00+00:00,0.4865735365506899,1,115030396.7675303,115030396.7675303,0.3953707374734883
2025-07-22 00:00:00+00:00,0.4773543393272353,1,104685179.36542358,104685179.36542358,-1.8947181732918095
2025-07-23 00:00:00+00:00,0.4344922465539059,1,61807869.88375008,61807869.88375008,-8.979093566790986
2025-07-24 00:00:00+00:00,0.43389745559690257,1,72946618.69857673,72946618.69857673,-0.13689334199189496
2025-07-25 00:00:00+00:00,0.4423261353142035,1,42385669.46659173,42385669.46659173,1.9425510817310032
2025-07-26 00:00:00+00:00,0.45182146664842937,1,15482206.30989652,15482206.30989652,2.146681051862531
2025-07-27 00:00:00+00:00,0.4617056616591619,1,37380249.62674866,37380249.62674866,2.1876328904982145
2025-07-28 00:00:00+00:00,0.4317616217519946,1,56783152.535317436,56783152.535317436,-6.4855258217024865
2025-07-29 00:00:00+00:00,0.4240614064217805,1,94356944.73972993,94356944.73972993,-1.7834413579809083
2025-07-30 00:00:00+00:00,0.40957885016053125,1,60008155.676908776,60008155.676908776,-3.4152026196990315
2025-07-31 00:00:00+00:00,0.3991155729830262,1,51264998.70709372,51264998.70709372,-2.5546429395473025
2025-08-01 00:00:00+00:00,0.37371432277206995,1,97698739.75892411,97698739.75892411,-6.364384637037579
2025-08-02 00:00:00+00:00,0.37095690759489247,1,19583467.268329054,19583467.268329054,-0.7378403794438548
2025-08-03 00:00:00+00:00,0.3825627135874536,1,12825780.849642554,12825780.849642554,3.1286129884486202
2025-08-04 00:00:00+00:00,0.4092646650349889,1,18012798.772627585,18012798.772627585,6.979757958411503
2025-08-05 00:00:00+00:00,0.38079833233190147,1,14352098.15302602,14352098.15302602,-6.955482633873055
2025-08-06 00:00:00+00:00,0.3893895143984657,1,45996917.076867096,45996917.076867096,2.2560976078740413
2025-08-07 00:00:00+00:00,0.4166162149981037,1,16486540.441163376,16486540.441163376,6.992150428523525
2025-08-08 00:00:00+00:00,0.43427101597164675,1,51489523.147071205,51489523.147071205,4.237665347140518
2025-08-09 00:00:00+00:00,0.47051182866310026,1,23913683.468472272,23913683.468472272,8.345206416865647
2025-08-10 00:00:00+00:00,0.4639412373978022,1,64101772.440365486,64101772.440365486,-1.3964773816563913
2025-08-11 00:00:00+00:00,0.4370663196839285,1,69901237.8969212,69901237.8969212,-5.7927417413059175
2025-08-12 00:00:00+00:00,0.47468564560234955,1,78340206.78544316,78340206.78544316,8.607235154981986
2025-08-13 00:00:00+00:00,0.5734774486528685,1,79308895.33679795,79308895.33679795,20.812047713209815
2025-08-14 00:00:00+00:00,0.5145824684246646,1,108735312.82568435,108735312.82568435,-10.269798815376552
2025-08-15 00:00:00+00:00,0.4898984237335184,1,95852000.4289532,95852000.4289532,-4.796907435792286
2025-08-16 00:00:00+00:00,0.4950547289715827,1,27442661.36242784,27442661.36242784,1.0525253783770339
2025-08-17 00:00:00+00:00,0.542453681662097,1,69014381.82301465,69014381.82301465,9.57448740848914
2025-08-18 00:00:00+00:00,0.517209985899803,1,1605095.2866319101,1605095.2866319101,-4.6536131315297435
