tx_time,whale_count,whale_volume_usd,whale_max_usd
2025-07-19 00:00:00+00:00,1,25650324.009356126,25650324.009356126
2025-07-20 00:00:00+00:00,1,78830693.5864587,78830693.5864587
2025-07-21 00:00:00+00:00,1,115030396.7675303,115030396.7675303
2025-07-22 00:00:00+00:00,1,104685179.36542358,104685179.36542358
2025-07-23 00:00:00+00:00,1,61807869.88375008,61807869.88375008
2025-07-24 00:00:00+00:00,1,72946618.69857673,72946618.69857673
2025-07-25 00:00:00+00:00,1,42385669.46659173,42385669.46659173
2025-07-26 00:00:00+00:00,1,15482206.30989652,15482206.30989652
2025-07-27 00:00:00+00:00,1,37380249.62674866,37380249.62674866
2025-07-28 00:00:00+00:00,1,56783152.535317436,56783152.535317436
2025-07-29 00:00:00+00:00,1,94356944.73972993,94356944.73972993
2025-07-30 00:00:00+00:00,1,60008155.676908776,60008155.676908776
2025-07-31 00:00:00+00:00,1,51264998.70709372,51264998.70709372
2025-08-01 00:00:00+00:00,1,97698739.75892411,97698739.75892411
2025-08-02 00:00:00+00:00,1,19583467.268329054,19583467.268329054
2025-08-03 00:00:00+00:00,1,12825780.849642554,12825780.849642554
2025-08-04 00:00:00+00:00,1,18012798.772627585,18012798.772627585
2025-08-05 00:00:00+00:00,1,14352098.15302602,14352098.15302602
2025-08-06 00:00:00+00:00,1,45996917.076867096,45996917.076867096
2025-08-07 00:00:00+00:00,1,16486540.441163376,16486540.441163376
2025-08-08 00:00:00+00:00,1,51489523.147071205,51489523.147071205
2025-08-09 00:00:00+00:00,1,23913683.468472272,23913683.468472272
2025-08-10 00:00:00+00:00,1,64101772.440365486,64101772.440365486
2025-08-11 00:00:00+00:00,1,69901237.8969212,69901237.8969212
2025-08-12 00:00:00+00:00,1,78340206.78544316,78340206.78544316
2025-08-13 00:00:00+00:00,1,79308895.33679795,79308895.33679795
2025-08-14 00:00:00+00:00,1,108735312.82568435,108735312.82568435
2025-08-15 00:00:00+00:00,1,95852000.4289532,95852000.4289532
2025-08-16 00:00:00+00:00,1,27442661.36242784,27442661.36242784
2025-08-17 00:00:00+00:00,1,69014381.82301465,69014381.82301465
2025-08-18 00:00:00+00:00,1,1605095.2866319101,1605095.2866319101
